Provider Number,Hospital Name,Address,City,State,ZIP Code,County Name,Unweighted Normalized Clinical Process of Care Domain Score,Weighted Clinical Process of Care Domain Score,Unweighted Patient Experience of Care Domain Score,Weighted Patient Experience of Care Domain Score,Unweighted Normalized Outcome Domain Score,Weighted Outcome Domain Score,Unweighted Normalized Efficiency Domain Score,Weighted Efficiency Domain Score,Total Performance Score,Location
430097,SANFORD ABERDEEN MEDICAL CENTER,2905 3RD AVE SE,Aberdeen,SD,57401,BROWN,20,4,75,22.5,65,19.5,0,0,46,"2905 3RD AVE SE
Aberdeen, SD 57401
(45.462143, -98.446549)"
260227,BLACK RIVER COMMUNITY MEDICAL CENTER,217 PHYSICIANS PARK DRIVE,Poplar Bluff,MO,63901-3956,BUTLER,,,88,52.8,,,100,40,92.8,"217 PHYSICIANS PARK DRIVE
Poplar Bluff, MO 63901-3956
(36.770882, -90.456445)"
670082,BAYLOR MEDICAL CENTER AT MCKINNEY,5252 WEST UNIVERSITY DRIVE,Mc Kinney,TX,75071,COLLIN,68,13.6,52,15.6,32.5,9.75,0,0,38.95,"5252 WEST UNIVERSITY DRIVE
Mc Kinney, TX 75071
(33.218404, -96.681052)"
360361,KINGS DAUGHTERS MEDICAL CENTER OHIO,1901 ARGONNE ROAD,Portsmouth,OH,45662,SCIOTO,83.33333333,41.66666667,,,,,0,0,41.66666667,"1901 ARGONNE ROAD
Portsmouth, OH 45662
(38.747317, -82.993354)"
370049,STILLWATER MEDICAL CENTER,1323 WEST 6TH STREET,Stillwater,OK,74076,PAYNE,68,13.6,66,19.8,33.33333333,10,0,0,43.4,"1323 WEST 6TH STREET
Stillwater, OK 74076
"
370093,O U MEDICAL CENTER,700 NE 13TH STREET,Oklahoma City,OK,73104,OKLAHOMA,49.09090909,9.818181818,16,4.8,22.5,6.75,0,0,21.36818182,"700 NE 13TH STREET
Oklahoma City, OK 73104
(35.482317, -97.501002)"
220080,HOLY FAMILY HOSPITAL,70 EAST STREET,Methuen,MA,1844,ESSEX,47,9.4,19,5.7,68,20.4,0,0,35.5,"70 EAST STREET
Methuen, MA 01844
(42.725672, -71.168659)"
220050,BAYSTATE MARY LANE HOSPITAL,85 SOUTH STREET,Ware,MA,1082,HAMPSHIRE,62.22222222,12.44444444,76,22.8,45,13.5,30,6,54.74444444,"85 SOUTH STREET
Ware, MA 01082
(42.25276, -72.241542)"
220008,STURDY MEMORIAL HOSPITAL,211 PARK STREET,Attleboro,MA,2703,BRISTOL,81.11111111,16.22222222,47,14.1,32,9.6,0,0,39.92222222,"211 PARK STREET
Attleboro, MA 02703
(41.94262, -71.27478)"
230099,PROMEDICA MONROE REGIONAL HOSPITAL,718 N MACOMB ST,Monroe,MI,48162,MONROE,46.66666667,9.333333333,28,8.4,80,24,0,0,41.73333333,"718 N MACOMB ST
Monroe, MI 48162
(41.926279, -83.388455)"
200033,EASTERN MAINE MEDICAL CENTER,PO BOX 404,Bangor,ME,4401,PENOBSCOT,78.18181818,15.63636364,37,11.1,34,10.2,0,0,36.93636364,"PO BOX 404
Bangor, ME 04401
"
200024,CENTRAL MAINE MEDICAL CENTER,300 MAIN STREET,Lewiston,ME,4240,ANDROSCOGGIN,61.81818182,12.36363636,57,17.1,36,10.8,20,4,44.26363636,"300 MAIN STREET
Lewiston, ME 04240
(44.100829, -70.214705)"
200052,NORTHERN MAINE MEDICAL CENTER,194 E MAIN STREET,Fort Kent,ME,4743,AROOSTOOK,81.25,16.25,58,17.4,40,12,70,14,59.65,"194 E MAIN STREET
Fort Kent, ME 04743
(47.251498, -68.593828)"
230216,PORT HURON HOSPITAL,1221 PINE GROVE AVE,Port Huron,MI,48061,SAINT CLAIR,62.72727273,12.54545455,27,8.1,20,6,30,6,32.64545455,"1221 PINE GROVE AVE
Port Huron, MI 48061
(42.986743, -82.427839)"
230040,PENNOCK HOSPITAL,1009 W GREEN ST,Hastings,MI,49058,BARRY,55.55555556,11.11111111,42,12.6,50,15,60,12,50.71111111,"1009 W GREEN ST
Hastings, MI 49058
(42.6442, -85.3021)"
230176,OAKWOOD HOSPITAL - SOUTHSHORE,5450 FORT STREET,Trenton,MI,48183,WAYNE,34,6.8,53,15.9,68,20.4,0,0,43.1,"5450 FORT STREET
Trenton, MI 48183
(42.118286, -83.2096)"
230174,NORTH OTTAWA COMMUNITY HEALTH CENTER,1309 SHELDON RD,Grand Haven,MI,49417,OTTAWA,53.33333333,15.23809524,51,21.85714286,,,20,5.714285714,42.80952381,"1309 SHELDON RD
Grand Haven, MI 49417
(43.050837, -86.227852)"
230165,ST JOHN HOSPITAL AND MEDICAL CENTER,22101 MOROSS RD,Detroit,MI,48236,WAYNE,80.90909091,16.18181818,14,4.2,36,10.8,0,0,31.18181818,"22101 MOROSS RD
Detroit, MI 48236
(42.419011, -82.915008)"
230070,COVENANT MEDICAL CENTER,1447 N HARRISON,Saginaw,MI,48602,SAGINAW,50,10,36,10.8,36,10.8,10,2,33.6,"1447 N HARRISON
Saginaw, MI 48602
(43.427844, -83.955546)"
230133,OTSEGO MEMORIAL HOSPITAL,825 N CENTER AVE,Gaylord,MI,49735,OTSEGO,43.33333333,8.666666667,54,16.2,50,15,70,14,53.86666667,"825 N CENTER AVE
Gaylord, MI 49735
(45.035549, -84.673884)"
250104,ANDERSON REGIONAL MEDICAL CTR,2124 14 ST,Meridian,MS,39301,LAUDERDALE,30.90909091,6.181818182,60,18,28,8.4,0,0,32.58181818,"2124 14 ST
Meridian, MS 39301
(32.370777, -88.700035)"
220063,LOWELL GENERAL HOSPITAL,295 VARNUM AVENUE,Lowell,MA,1854,MIDDLESEX,58,11.6,45,13.5,62,18.6,0,0,43.7,"295 VARNUM AVENUE
Lowell, MA 01854
(42.64646, -71.34068)"
230024,SINAI-GRACE HOSPITAL,6071 W OUTER DRIVE,Detroit,MI,48235,WAYNE,40.90909091,8.181818182,11,3.3,32,9.6,0,0,21.08181818,"6071 W OUTER DRIVE
Detroit, MI 48235
(42.420085, -83.182379)"
230021,"LAKELAND HOSPITAL, ST JOSEPH",1234 NAPIER AVENUE,St. Joseph,MI,49085,BERRIEN,41.81818182,8.363636364,52,15.6,22,6.6,20,4,34.56363636,"1234 NAPIER AVENUE
St. Joseph, MI 49085
(42.089775, -86.477296)"
230254,CRITTENTON HOSPITAL MEDICAL CENTER,1101 W UNIVERSITY DRIVE,Rochester,MI,48307,OAKLAND,60.90909091,12.18181818,23,6.9,46,13.8,0,0,32.88181818,"1101 W UNIVERSITY DRIVE
Rochester, MI 48307
(42.680882, -83.149228)"
230193,MCLAREN LAPEER REGION,1375 N MAIN ST,Lapeer,MI,48446,LAPEER,48.88888889,9.777777778,28,8.4,72,21.6,40,8,47.77777778,"1375 N MAIN ST
Lapeer, MI 48446
(43.061707, -83.319265)"
240064,GRAND ITASCA CLINIC AND HOSPITAL,1601 GOLF COURSE ROAD,Grand Rapids,MN,55744,ITASCA,63.33333333,12.66666667,66,19.8,50,15,60,12,59.46666667,"1601 GOLF COURSE ROAD
Grand Rapids, MN 55744
(47.221039, -93.554716)"
240044,WINONA HEALTH SERVICES,855 MANKATO AVENUE,Winona,MN,55987,WINONA,27.77777778,5.555555556,45,13.5,56.66666667,17,50,10,46.05555556,"855 MANKATO AVENUE
Winona, MN 55987
(44.033016, -91.622136)"
240076,BUFFALO HOSPITAL,303 CATLIN ST,Buffalo,MN,55313,WRIGHT,73.33333333,20.95238095,72,30.85714286,,,40,11.42857143,63.23809524,"303 CATLIN ST
Buffalo, MN 55313
(45.193199, -93.871025)"
240036,ST CLOUD HOSPITAL,1406 6TH AVE NORTH,Saint Cloud,MN,56303,STEARNS,41.81818182,8.363636364,63,18.9,46,13.8,30,6,47.06363636,"1406 6TH AVE NORTH
Saint Cloud, MN 56303
(45.574304, -94.17)"
250141,BAPTIST MEMORIAL HOSPITAL DESOTO,7601 SOUTHCREST PARKWAY,Southaven,MS,38671,DE SOTO,51.81818182,10.36363636,20,6,18,5.4,10,2,23.76363636,"7601 SOUTHCREST PARKWAY
Southaven, MS 38671
(34.970993, -89.996752)"
250099,GREENWOOD LEFLORE HOSPITAL,1401 RIVER RD / PO BOX 1410,Greenwood,MS,38930,LEFLORE,46.66666667,9.333333333,45,13.5,45,13.5,10,2,38.33333333,"1401 RIVER RD / PO BOX 1410
Greenwood, MS 38930
(33.518248, -90.198663)"
230059,SAINT MARY'S HEALTH CARE,200 JEFFERSON AVENUE SE,Grand Rapids,MI,49503,KENT,55,11,45,13.5,35,10.5,30,6,41,"200 JEFFERSON AVENUE SE
Grand Rapids, MI 49503
(42.957181, -85.664091)"
240038,UNITED HOSPITAL,333 NORTH SMITH AVENUE,Saint Paul,MN,55102,RAMSEY,50,10,28,8.4,38,11.4,20,4,33.8,"333 NORTH SMITH AVENUE
Saint Paul, MN 55102
(44.942157, -93.107925)"
240052,LAKE REGION HEALTHCARE CORPORATION,712 SOUTH CASCADE,Fergus Falls,MN,56537,OTTER TAIL,53.33333333,15.23809524,56,24,,,60,17.14285714,56.38095238,"712 SOUTH CASCADE
Fergus Falls, MN 56537
(46.277149, -96.072402)"
240019,ESSENTIA HEALTH DULUTH,502 EAST SECOND STREET,Duluth,MN,55805,ST. LOUIS,52.5,15,39,16.71428571,,,10,2.857142857,34.57142857,"502 EAST SECOND STREET
Duluth, MN 55805
(46.792523, -92.094863)"
260180,CHRISTIAN HOSPITAL NORTHEAST-NORTHWEST,11133 DUNN ROAD,Saint Louis,MO,63136-6119,ST. LOUIS,56.36363636,11.27272727,46,13.8,64,19.2,10,2,46.27272727,"11133 DUNN ROAD
Saint Louis, MO 63136-6119
(38.776084, -90.23888)"
260070,PEMISCOT COUNTY MEMORIAL HOSPITAL,946 EAST REED,Hayti,MO,63851-0489,PEMISCOT,,,26,15.6,,,60,24,39.6,"946 EAST REED
Hayti, MO 63851-0489
(36.236855, -89.739997)"
260163,PARKLAND HEALTH CENTER,1101 W LIBERTY,Farmington,MO,63640-1921,ST. FRANCOIS,43.33333333,8.666666667,61,18.3,63.33333333,19,30,6,51.96666667,"1101 W LIBERTY
Farmington, MO 63640-1921
(37.780523, -90.438959)"
260057,CAMERON REGIONAL MEDICAL CENTER,1600 E EVERGREEN,Cameron,MO,64429-2400,CLINTON,36.66666667,7.333333333,30,9,75,22.5,20,4,42.83333333,"1600 E EVERGREEN
Cameron, MO 64429-2400
(39.731633, -94.221756)"
260097,WESTERN MISSOURI MEDICAL CENTER,403 BURKARTH ROAD,Warrensburg,MO,64093-3101,JOHNSON,34.44444444,6.888888889,52,15.6,23.33333333,7,60,12,41.48888889,"403 BURKARTH ROAD
Warrensburg, MO 64093-3101
(38.765958, -93.723723)"
250057,KING'S DAUGHTERS MEDICAL CENTER-BROOKHAVEN,P O BOX 948/427 HIGHWAY 51 NORTH,Brookhaven,MS,39601,LINCOLN,57.5,11.5,95,28.5,60,18,30,6,64,"P O BOX 948/427 HIGHWAY 51 NORTH
Brookhaven, MS 39601
"
250072,MERIT HEALTH CENTRAL,1850 CHADWICK DR,Jackson,MS,39204,HINDS,45,9,31,9.3,42.5,12.75,0,0,31.05,"1850 CHADWICK DR
Jackson, MS 39204
(32.286897, -90.255627)"
250049,BEACHAM MEMORIAL HOSPITAL,205 N CHERRY ST,Magnolia,MS,39652,PIKE,,,59,22.125,35,13.125,10,2.5,37.75,"205 N CHERRY ST
Magnolia, MS 39652
(31.145613, -90.459297)"
250102,MISSISSIPPI BAPTIST MEDICAL CENTER,1225 N STATE ST,Jackson,MS,39202,HINDS,59.09090909,11.81818182,68,20.4,28,8.4,0,0,40.61818182,"1225 N STATE ST
Jackson, MS 39202
(32.316428, -90.178364)"
250082,DELTA REGIONAL MEDICAL CENTER,1400 E UNION ST,Greenville,MS,38704,WASHINGTON,28,5.6,30,9,28,8.4,0,0,23,"1400 E UNION ST
Greenville, MS 38704
(33.409906, -91.035329)"
250093,BOLIVAR MEDICAL CENTER,901 E SUNFLOWER RD,Cleveland,MS,38732,BOLIVAR,100,20,25,7.5,40,12,10,2,41.5,"901 E SUNFLOWER RD
Cleveland, MS 38732
(33.747469, -90.710947)"
250042,NORTHWEST MISSISSIPPI REGIONAL MEDICAL CENTER,1970 HOSPITAL DRIVE,Clarksdale,MS,38614,COAHOMA,24.44444444,4.888888889,33,9.9,60,18,20,4,36.78888889,"1970 HOSPITAL DRIVE
Clarksdale, MS 38614
(34.197133, -90.552762)"
280061,REGIONAL WEST MEDICAL CENTER,4021 AVE B,Scottsbluff,NE,69361,SCOTTS BLUFF,34.44444444,6.888888889,30,9,14,4.2,20,4,24.08888889,"4021 AVE B
Scottsbluff, NE 69361
(41.886902, -103.665858)"
280040,THE NEBRASKA METHODIST HOSPITAL,8303 DODGE ST,Omaha,NE,68114,DOUGLAS,42.72727273,8.545454546,43,12.9,42,12.6,0,0,34.04545455,"8303 DODGE ST
Omaha, NE 68114
(41.259682, -96.0426)"
260162,BARNES-JEWISH WEST COUNTY HOSPITAL,12634 OLIVE BOULEVARD,Creve Couer,MO,63141-6337,ST. LOUIS,84.44444444,24.12698413,48,20.57142857,,,70,20,64.6984127,"12634 OLIVE BOULEVARD
Creve Couer, MO 63141-6337
(38.676997, -90.466227)"
250036,GEORGE REGIONAL HEALTH SYSTEM,859 WINTER STREET,Lucedale,MS,39452,GEORGE,8.75,1.75,89,26.7,36.66666667,11,30,6,45.45,"859 WINTER STREET
Lucedale, MS 39452
(30.921642, -88.592841)"
260068,BOONE HOSPITAL CENTER,1600 E BROADWAY,Columbia,MO,65201-5844,BOONE,56.36363636,11.27272727,72,21.6,30,9,20,4,45.87272727,"1600 E BROADWAY
Columbia, MO 65201-5844
(38.950374, -92.315757)"
260047,CAPITAL REGION MEDICAL CENTER,1125 MADISON ST,Jefferson City,MO,65101-5227,COLE,57.27272727,11.45454545,62,18.6,22.5,6.75,30,6,42.80454545,"1125 MADISON ST
Jefferson City, MO 65101-5227
(38.565984, -92.182815)"
270049,ST VINCENT HEALTHCARE,1233 N 30TH ST,Billings,MT,59107,YELLOWSTONE,86.36363636,17.27272727,48,14.4,40,12,30,6,49.67272727,"1233 N 30TH ST
Billings, MT 59107
(45.793541, -108.520657)"
290045,ST ROSE DOMINICAN HOSPITALS - SIENA CAMPUS,3001 ST ROSE PARKWAY,Henderson,NV,89052,CLARK,37.27272727,7.454545455,33,9.9,22,6.6,0,0,23.95454545,"3001 ST ROSE PARKWAY
Henderson, NV 89052
(36.004707, -115.1175)"
260050,ST FRANCIS HOSPITAL & HEALTH SERVICES,2016 SOUTH MAIN ST,Maryville,MO,64468-2655,NODAWAY,61.25,12.25,69,20.7,80,24,70,14,70.95,"2016 SOUTH MAIN ST
Maryville, MO 64468-2655
(40.325845, -94.874044)"
260113,MISSOURI DELTA MEDICAL CENTER,1008 NORTH MAIN ST,Sikeston,MO,63801,NEW MADRID,91.11111111,18.22222222,74,22.2,40,12,30,6,58.42222222,"1008 NORTH MAIN ST
Sikeston, MO 63801
(36.889074, -89.584392)"
430008,BROOKINGS HEALTH SYSTEM,300 22ND AVE,Brookings,SD,570062496,BROOKINGS,81.11111111,16.22222222,63,18.9,60,18,80,16,69.12222222,"300 22ND AVE
Brookings, SD 570062496
(44.307751, -96.768153)"
430095,AVERA HEART HOSPITAL OF SOUTH DAKOTA,4500 W 69TH ST,Sioux Falls,SD,57108,MINNEHAHA,66.66666667,13.33333333,93,27.9,70,21,30,6,68.23333333,"4500 W 69TH ST
Sioux Falls, SD 57108
(43.489923, -96.781442)"
410013,WESTERLY HOSPITAL,25 WELLS STREET,Westerly,RI,2891,WASHINGTON,60,12,46,13.8,47.5,14.25,30,6,46.05,"25 WELLS STREET
Westerly, RI 02891
(41.362798, -71.825814)"
410001,MEMORIAL HOSPITAL OF RHODE ISLAND,111 BREWSTER STREET,Pawtucket,RI,2860,PROVIDENCE,27.77777778,5.555555556,34,10.2,77.5,23.25,10,2,41.00555556,"111 BREWSTER STREET
Pawtucket, RI 02860
(41.870519, -71.374793)"
410011,"LANDMARK MEDICAL CENTER,  INC",115 CASS AVE,Woonsocket,RI,2895,PROVIDENCE,38,7.6,14,4.2,40,12,10,2,25.8,"115 CASS AVE
Woonsocket, RI 02895
(42.00534, -71.496115)"
420091,CAROLINAS HOSPITAL SYSTEM,805 PAMPLICO HWY BOX 100550,Florence,SC,29505,FLORENCE,67,13.4,48,14.4,66,19.8,0,0,47.6,"805 PAMPLICO HWY BOX 100550
Florence, SC 29505
(34.158376, -79.753814)"
420019,CHESTER REGIONAL MEDICAL CENTER,1 MEDICAL PARK DRIVE,Chester,SC,29706,CHESTER,38.88888889,7.777777778,33,9.9,20,6,40,8,31.67777778,"1 MEDICAL PARK DRIVE
Chester, SC 29706
(34.683429, -81.184551)"
420054,MARLBORO PARK HOSPITAL,1138 CHERAW HIGHWAY,Bennettsville,SC,29512,MARLBORO,,,58,34.8,,,40,16,50.8,"1138 CHERAW HIGHWAY
Bennettsville, SC 29512
(34.637363, -79.700229)"
420018,PALMETTO HEALTH RICHLAND,5 RICHLAND MEDICAL PARK,Columbia,SC,29203,RICHLAND,44.54545455,8.909090909,62,18.6,26,7.8,0,0,35.30909091,"5 RICHLAND MEDICAL PARK
Columbia, SC 29203
(34.026689, -81.03012)"
420004,MUSC MEDICAL CENTER,169 ASHLEY AVE,Charleston,SC,29425,CHARLESTON,61.81818182,12.36363636,58,17.4,42,12.6,0,0,42.36363636,"169 ASHLEY AVE
Charleston, SC 29425
(32.7854, -79.946559)"
420037,GHS-HILLCREST MEMORIAL HOSPITAL,729 SOUTH EAST MAIN STREET,Simpsonville,SC,29681,GREENVILLE,71.11111111,14.22222222,68,20.4,30,9,40,8,51.62222222,"729 SOUTH EAST MAIN STREET
Simpsonville, SC 29681
"
440008,HENDERSON COUNTY COMMUNITY HOSPITAL,200 W CHURCH ST,Lexington,TN,38351,HENDERSON,,,81,48.6,,,70,28,76.6,"200 W CHURCH ST
Lexington, TN 38351
(35.654195, -88.398838)"
390217,EXCELA HEALTH FRICK HOSPITAL,508 SOUTH CHURCH STREET,Mount Pleasant,PA,15666,WESTMORELAND,55.55555556,11.11111111,62,18.6,36.66666667,11,10,2,42.71111111,"508 SOUTH CHURCH STREET
Mount Pleasant, PA 15666
(40.145895, -79.547984)"
390116,MERCY SUBURBAN HOSPITAL,2701 DEKALB PIKE,Norristown,PA,19401,MONTGOMERY,87.77777778,17.55555556,20,6,52.5,15.75,0,0,39.30555556,"2701 DEKALB PIKE
Norristown, PA 19401
(40.138631, -75.31561)"
390112,WINDBER HOSPITAL,600 SOMERSET AVENUE,Windber,PA,15963,SOMERSET,55.55555556,15.87301587,46,19.71428571,,,20,5.714285714,41.3015873,"600 SOMERSET AVENUE
Windber, PA 15963
(40.241759, -78.837501)"
390027,TEMPLE UNIVERSITY HOSPITAL,3401 NORTH BROAD STREET,Philadelphia,PA,19140,PHILADELPHIA,72.72727273,14.54545455,31,9.3,72.5,21.75,0,0,45.59545455,"3401 NORTH BROAD STREET
Philadelphia, PA 19140
(40.004667, -75.1522)"
390201,POCONO MEDICAL CENTER,206 EAST BROWN STREET,East Stroudsburg,PA,18301,MONROE,51.81818182,10.36363636,31,9.3,44,13.2,0,0,32.86363636,"206 EAST BROWN STREET
East Stroudsburg, PA 18301
(40.992232, -75.1747)"
390195,MAIN LINE HOSPITAL LANKENAU,100 LANCASTER AVE,Wynnewood,PA,19096,MONTGOMERY,74.54545455,14.90909091,44,13.2,46,13.8,0,0,41.90909091,"100 LANCASTER AVE
Wynnewood, PA 19096
(39.990473, -75.258688)"
390019,PALMERTON HOSPITAL,135 LAFAYETTE AVENUE,Palmerton,PA,18071,CARBON,47.77777778,9.555555556,28,8.4,23.33333333,7,10,2,26.95555556,"135 LAFAYETTE AVENUE
Palmerton, PA 18071
(40.802158, -75.615261)"
390002,UPMC MCKEESPORT,1500 FIFTH AVENUE,Mc Keesport,PA,15132,ALLEGHENY,72,14.4,44,13.2,34,10.2,0,0,37.8,"1500 FIFTH AVENUE
Mc Keesport, PA 15132
(40.352292, -79.849272)"
390162,EASTON HOSPITAL,250 SOUTH 21ST STREET,Easton,PA,18042,NORTHAMPTON,52.72727273,10.54545455,56,16.8,52,15.6,0,0,42.94545455,"250 SOUTH 21ST STREET
Easton, PA 18042
(40.686379, -75.242894)"
390052,CLEARFIELD HOSPITAL,809 TURNPIKE AVE,Clearfield,PA,16830,CLEARFIELD,42.22222222,8.444444444,20,6,43.33333333,13,0,0,27.44444444,"809 TURNPIKE AVE
Clearfield, PA 16830
(41.033397, -78.450279)"
390084,SUNBURY COMMUNITY HOSPITAL,350 NORTH 11TH STREET,Sunbury,PA,17801,NORTHUMBERLAND,83.33333333,16.66666667,25,7.5,70,21,30,6,51.16666667,"350 NORTH 11TH STREET
Sunbury, PA 17801
(40.862531, -76.777713)"
390180,CROZER CHESTER MEDICAL CENTER,ONE MEDICAL CENTER BOULEVARD,Upland,PA,19013,DELAWARE,54.54545455,10.90909091,14,4.2,36,10.8,0,0,25.90909091,"ONE MEDICAL CENTER BOULEVARD
Upland, PA 19013
"
390009,SAINT VINCENT HOSPITAL,232 WEST 25TH STREET,Erie,PA,16544,ERIE,69.09090909,13.81818182,28,8.4,54,16.2,0,0,38.41818182,"232 WEST 25TH STREET
Erie, PA 16544
(42.110622, -80.080377)"
390107,UPMC PASSAVANT,9100 BABCOCK BOULEVARD,Pittsburgh,PA,15237,ALLEGHENY,71.81818182,14.36363636,44,13.2,42,12.6,10,2,42.16363636,"9100 BABCOCK BOULEVARD
Pittsburgh, PA 15237
(40.567453, -80.016508)"
380040,ST CHARLES MEDICAL CENTER - REDMOND,1253 N CANAL BLVD,Bend,OR,97701,DESCHUTES,37.77777778,10.79365079,44,18.85714286,,,80,22.85714286,52.50793651,"1253 N CANAL BLVD
Bend, OR 97701
(44.288094, -121.168876)"
380004,PROVIDENCE ST VINCENT MEDICAL CENTER,9205 SW BARNES ROAD,Portland,OR,97225,WASHINGTON,35.45454545,7.090909091,38,11.4,36,10.8,60,12,41.29090909,"9205 SW BARNES ROAD
Portland, OR 97225
(45.513446, -122.75568)"
390125,WAYNE MEMORIAL HOSPITAL,601 PARK STREET,Honesdale,PA,18431,WAYNE,36.66666667,7.333333333,37,11.1,33.33333333,10,0,0,28.43333333,"601 PARK STREET
Honesdale, PA 18431
(41.576188, -75.259945)"
390266,GROVE CITY MEDICAL CENTER,631 NORTH BROAD STREET EXT.,Grove City,PA,16127,MERCER,46.66666667,9.333333333,29,8.7,33.33333333,10,0,0,28.03333333,"631 NORTH BROAD STREET EXT.
Grove City, PA 16127
(41.170709, -80.083156)"
370037,ST ANTHONY HOSPITAL,1000 NORTH LEE AVENUE,Oklahoma City,OK,73101,OKLAHOMA,78.18181818,15.63636364,53,15.9,14,4.2,20,4,39.73636364,"1000 NORTH LEE AVENUE
Oklahoma City, OK 73101
(35.477263, -97.524298)"
370211,INTEGRIS CANADIAN VALLEY  HOSPITAL,1201 HEALTH CENTER PARKWAY,Yukon,OK,73099,CANADIAN,41.11111111,8.222222222,47,14.1,65,19.5,0,0,41.82222222,"1201 HEALTH CENTER PARKWAY
Yukon, OK 73099
(35.48381, -97.764138)"
380025,LEGACY MOUNT HOOD MEDICAL CENTER,24800 SE STARK STREET,Gresham,OR,97030,MULTNOMAH,51.11111111,10.22222222,39,11.7,70,21,90,18,60.92222222,"24800 SE STARK STREET
Gresham, OR 97030
(45.519054, -122.407395)"
380090,BAY AREA HOSPITAL,1775 THOMPSON ROAD,Coos Bay,OR,97420,COOS,18.88888889,3.777777778,27,8.1,2.5,0.75,50,10,22.62777778,"1775 THOMPSON ROAD
Coos Bay, OR 97420
(43.38583, -124.23333)"
380001,MID-COLUMBIA MEDICAL CENTER,1700 E 19TH STREET,The Dalles,OR,97058,WASCO,38.88888889,7.777777778,42,12.6,33.33333333,10,60,12,42.37777778,"1700 E 19TH STREET
The Dalles, OR 97058
(45.587839, -121.165781)"
360046,MCCULLOUGH-HYDE MEMORIAL HOSPITAL,110 NORTH POPLAR STREET,Oxford,OH,45056,BUTLER,45.55555556,9.111111111,39,11.7,13.33333333,4,30,6,30.81111111,"110 NORTH POPLAR STREET
Oxford, OH 45056
(39.512596, -84.740817)"
360040,KNOX COMMUNITY HOSPITAL,1330 COSHOCTON ROAD,Mount Vernon,OH,43050,KNOX,20,4,27,8.1,42.5,12.75,0,0,24.85,"1330 COSHOCTON ROAD
Mount Vernon, OH 43050
(40.402482, -82.447579)"
360039,GENESIS HEALTHCARE SYSTEM,2951 MAPLE AVENUE,Zanesville,OH,43701,MUSKINGUM,53.63636364,10.72727273,18,5.4,48,14.4,30,6,36.52727273,"2951 MAPLE AVENUE
Zanesville, OH 43701
(39.975279, -82.013473)"
360019,SUMMA BARBERTON HOSPITAL,155 5TH STREET N E,Barberton,OH,44203,SUMMIT,23.63636364,4.727272727,25,7.5,44,13.2,0,0,25.42727273,"155 5TH STREET N E
Barberton, OH 44203
(41.015225, -81.589808)"
360032,GRAND LAKE HEALTH SYSTEM,200 SAINT CLAIR STREET,Saint Marys,OH,45885,AUGLAIZE,33.33333333,6.666666667,41,12.3,30,9,30,6,33.96666667,"200 SAINT CLAIR STREET
Saint Marys, OH 45885
(40.545212, -84.369837)"
370004,INTEGRIS BAPTIST REGIONAL HEALTH CENTER,200 SECOND AVENUE SOUTHWEST,Miami,OK,74355,OTTAWA,55.55555556,11.11111111,55,16.5,40,12,40,8,47.61111111,"200 SECOND AVENUE SOUTHWEST
Miami, OK 74355
(36.872154, -94.879772)"
370018,JANE PHILLIPS MEDICAL CENTER,3500 EAST FRANK PHILLIPS BOULEVARD,Bartlesville,OK,74006,WASHINGTON,40,8,52,15.6,50,15,30,6,44.6,"3500 EAST FRANK PHILLIPS BOULEVARD
Bartlesville, OK 74006
(36.750674, -95.939698)"
370199,"LAKESIDE WOMEN'S HOSPITAL, A MEMBER OF INTEGRIS HE",11200 NORTH PORTLAND AVENUE,Oklahoma City,OK,73120,OKLAHOMA,52.5,21,40,24,,,,,45,"11200 NORTH PORTLAND AVENUE
Oklahoma City, OK 73120
(35.583924, -97.585017)"
370202,HILLCREST HOSPITAL SOUTH,8801 SOUTH 101ST EAST AVENUE,Tulsa,OK,74133,TULSA,38,7.6,28,8.4,40,12,0,0,28,"8801 SOUTH 101ST EAST AVENUE
Tulsa, OK 74133
(36.035714, -95.86464)"
360011,MARION GENERAL HOSPITAL,1000 MCKINLEY PARK DRIVE,Marion,OH,43302,MARION,86.36363636,17.27272727,38,11.4,56,16.8,20,4,49.47272727,"1000 MCKINLEY PARK DRIVE
Marion, OH 43302
(40.571602, -83.128048)"
360025,FIRELANDS REGIONAL MEDICAL CENTER,1111 HAYES AVENUE,Sandusky,OH,44870,ERIE,83.63636364,16.72727273,21,6.3,40,12,0,0,35.02727273,"1111 HAYES AVENUE
Sandusky, OH 44870
(41.446362, -82.7087)"
360074,FLOWER HOSPITAL,5200 HARROUN ROAD,Sylvania,OH,43560,LUCAS,68.88888889,13.77777778,49,14.7,44,13.2,10,2,43.67777778,"5200 HARROUN ROAD
Sylvania, OH 43560
(41.70906, -83.69441)"
360075,UHHS RICHMOND HEIGHTS HOSPITAL,27100 CHARDON ROAD,Richmond Heights,OH,44143,CUYAHOGA,76.66666667,15.33333333,30,9,22.5,6.75,0,0,31.08333333,"27100 CHARDON ROAD
Richmond Heights, OH 44143
(41.581402, -81.489628)"
360081,MERCY ST CHARLES HOSPITAL,2600 NAVARRE AVENUE,Oregon,OH,43616,LUCAS,38.88888889,7.777777778,23,6.9,34,10.2,0,0,24.87777778,"2600 NAVARRE AVENUE
Oregon, OH 43616
(41.636669, -83.486589)"
